artistLabel,genreLabel,length
1.8.7,"['drum and bass', 'techno']",79.0
2 Pistols,['hip-hop'],13007.0
21 Savage,"['mumble rap', 'trap music', 'Southern hip-hop']",134376.0
250,"['electronic dance music', 'independent music', 'disco', 'K-pop']",4318.0
2Baba,"['hip-hop', 'Afrobeats', 'reggae', 'African popular music', 'gospel music', 'contemporary R&B']",37350.0
40 Glocc,['hip-hop'],18737.0
4th Disciple,['hip-hop'],11986.0
6arelyhuman,"['electropop', 'dance-pop', 'electro house', 'hip-hop']",8081.0
88-Keys,"['underground hip-hop', 'hip-hop']",10538.0
9m88,"['jazz', 'pop music', 'neo soul', 'rhythm and blues']",7219.0
9th Prince,['hip-hop'],4290.0
9th Wonder,['rapping'],18213.0
A Guy Called Gerald,"['drum and bass', 'jungle', 'acid house', 'electronic dance music']",24363.0
A Pass,['dancehall'],9073.0
A+,['rapping'],1354.0
A-Lee,['pop music'],29936.0
A. B. Crentsil,['highlife'],5264.0
A. G. Cook,['pop music'],54703.0
A. G. Weinberger,['blues'],2355.0
A. J. Croce,"['country music', 'pop music', 'blues', 'rock music']",10702.0
A. J. Mogis,['indie rock'],4267.0
A. K. C. Natarajan,['Carnatic music'],3178.0
A. K. Salim,['jazz'],4152.0
A. P. Carter,['country music'],12123.0
A.B. Quintanilla,['cumbia'],52441.0
A.C. Reed,"['rock music', 'Chicago blues']",5247.0
A.K. Paul,['electronic music'],40.0
A.M. SNiPER,['hip-hop'],65.0
AG Coco,['alternative rock'],6036.0
AJ Castillo,['tejano music'],8307.0
AJ Jackson,['alternative rock'],125.0
ALB,['synth-pop'],1989.0
AMES,['pop music'],83.0
ATMA,['electronic music'],107.0
AURORA,"['art pop', 'indie rock', 'folktronica', 'Nordic folk music', 'synth-pop', 'pop music', 'folk-pop', 'dark pop', 'alternative dance', 'indie pop', 'alternative music', 'dance-pop']",160.0
Aage Kvalbein,['classical music'],1040.0
Aaron A. Brooks,['alternative rock'],19754.0
Aaron Accetta,['pop music'],9325.0
Aaron Dalbec,['hardcore punk'],55.0
Aaron Lewis,"['rock music', 'country music']",37001.0
Aaron Marsh,['alternative rock'],16607.0
Aaron Neville,"['funk', 'rhythm and blues']",41145.0
Aaron North,"['alternative rock', 'punk rock', 'rock music', 'industrial music']",14230.0
Aaron Smith,['house music'],1208.0
Aashish Rana,['rapping'],53.0
Abass Akande Obesere,['fuji music'],37.0
Abbie Neal,['country music'],6417.0
Abbie de Quant,['classical music'],6252.0
Abdelhalim Hafez,"['Arabic music', 'music of Egypt']",31.0
Abdullah Manzoor Niazi,['qawwali'],6057.0
Abe Cunningham,"['alternative rock', 'alternative metal']",5119.0
"Abe Laboriel, Jr.",['rock music'],46.0
Abie Rotenberg,['Hasidic music'],5645.0
Abraham Laboriel,['jazz'],21035.0
Absolum,['psychedelic trance'],3627.0
Abstract Rude,['underground hip-hop'],8853.0
Access to Arasaka,['electronic music'],3358.0
Ace Aura,"['colour bass', 'riddim', 'drum and bass', 'dubstep']",38808.0
Acey Slade,['punk rock'],7801.0
Aceyalone,"['alternative hip-hop', 'West Coast hip-hop']",12600.0
Achim Petry,['schlager music'],2846.0
Active Child,['new wave'],20854.0
